主題,媒體,民國年,時間,金額,執行單位,行政部會,備註
"平價豬肉供應店家資訊專區
",網路媒體-PCHome-超值精選,101,5月,160050.0,農委會,農委會,
台北希望廣場- 最優質的農特產品攏在這,網路媒體-聯網廣告,101,5月,80995.0,農委會,農委會,
1.老農津貼102年起實施排富規定 2.寵物登記宣導 3.請勿隨意放生 4.請勿購買來路不明牛樟芝 5.小花蔓澤蘭防治 6.正確使用合法動物用藥 7.請勿攜帶動植物及產品入境 8.「禽售網」網站宣傳 9.好茶產地標章 10.小地主大佃農持續辦理 11.四健會60週年老照片巡迴展 12.花東尋寶活動 13.農村婦女巧藝新品 14.檢驗寵物飼料與國際同步 15.國產牛肉產地標示上路  ,警察廣播電台-劇化插播廣告,101,7-9月,384000.0,農委會,農委會,
16.自然教育中心 17.別讓森林火大了 18.請勿隨意放生、勿攜帶外來種子 19.優質農村酒莊與農村美酒 20.合理化施肥 21.地產地消-米食推廣 22.新社花海 23.如何選購有機農產品 24.無痕山林 25.禽流感防疫措施 26.善待動物 27.調整耕作制度活化農地計畫-青年農友篇 28.調整耕作制度活化農地計畫-資深農友/地主篇 29.調整耕地制度活化-種什麼好篇 30.調整耕地制度活化-整體篇,警察廣播電台-劇化插播廣告,101,10-12月,576000.0,農委會,農委會,
八八風災莫拉克重建3周年,報紙(中時、聯晚),101,8月,225750.0,農委會,農委會,
綠色新生活 除蔓總動員,報紙(聯合),101,8月,340000.0,農委會,農委會,
2012米博覽會,報紙(中時、聯晚),101,10月,225750.0,農委會,農委會,
 國產牛肉追溯資訊網,報紙(中時、聯合、自由、蘋果、聯晚),101,11月,823150.0,農委會,農委會,
新社花海行,報紙(中時、蘋果),101,11月,365400.0,農委會,農委會,
吉園圃安全蔬果,報紙(自由、聯合),101,11月,379000.0,農委會,農委會,
2012科技農企業菁創獎,報紙(自由),101,11月,209000.0,農委會,農委會,
平地森林-鰲鼓溼地,報紙(中時、蘋果),101,11月-12月,730800.0,農委會,農委會,
花東農遊尋寶趣,報紙(聯合),101,11月,340000.0,農委會,農委會,
創心意 農村社區幸福生活,報紙(聯晚),101,11月,78750.0,農委會,農委會,
活化休耕地,報紙(中時、聯合、自由、蘋果、聯晚),101,12月,1646300.0,農委會,農委會,
飼養動物請三思而後行,報紙(蘋果),101,12月,218400.0,農委會,農委會,
自然保留區 102年1月開放線上申請,報紙(聯晚),101,12月,157500.0,農委會,農委會,
農漁會百大精品,報紙(中時),101,12月,147000.0,農委會,農委會,
鰲鼓溼地開園,30秒電視廣告,101,11月,660000.0,農委會,農委會,
花東農遊尋寶趣,30秒電視廣告,101,12月,794620.0,農委會,農委會,
臺灣牛肉推廣,報紙(蘋果日報、中國時報),101,5月,60000.0,農委會,農委會,
CAS標章形象宣導,雜誌(張老師月刊、經典雜誌月刊)、報紙(經濟日報),101,8-12月,268000.0,農委會,農委會,
CAS標章形象宣導,報紙(經濟日報),101,12月,94500.0,農委會,農委會,
台灣羽絨行銷推廣,雜誌(TVBS週刊、雅砌雜誌),101,1-2月,140000.0,農委會,農委會,
台灣羽絨行銷推廣,雜誌(智富雜誌、智富月刊、天下雜誌、漂亮家居月刊、VOUGE、壹週刊、商業週刊),101,11-12月,570000.0,農委會,農委會,
推廣國產乳品及鮮乳標章,報紙(蘋果日報、聯合報、中國時報、自由日報、壹週刊、爽報、Upaper),101,11-12月,400000.0,農委會,農委會,
推廣國產乳品及鮮乳標章,電視宣導(台視、民視無線台、民視新聞、東森家族、MTV台、緯來家族及數位頻道10+30秒共700廣告),101,11-12月,2600000.0,農委會,農委會,
推廣國產乳品及鮮乳標章,廣播(飛碟聯播網、好事好事聯播網、中廣音樂網),101,11-12月,500000.0,農委會,農委會,
推廣國產乳品及鮮乳標章,網路(YAHOO、Google、Youtube、蘋果動新聞及e蘋果手機廣告、Google手機APP廣告聯播網),101,11-12月,1370000.0,農委會,農委會,
2012臺灣國際豬腳節,報紙(中國時報、自由時報、新新聞報)、電視宣導(中視、中天15秒廣告),101,10月,905000.0,農委會,農委會,
台灣豬肉推廣活動,報紙(聯合晚報、自由時報、工商時報、聯合晚報、中央日報、台灣財經新聞),101,11月,1780000.0,農委會,農委會,
台灣豬肉推廣活動,中央日報網路報,101,11月,0.0,農委會,農委會,
宣導台灣優良水產品,雜誌(高鐵T-Shop雜誌、食尚玩家特刊),101,11-12月,280000.0,台灣優良農產品發展協會,農委會,
宣導台灣優良食米,報紙(聯合報、自由時報),101,12月,285000.0,台灣優良農產品發展協會,農委會,
宣導稻米產銷專業區,報紙(聯合報、自由時報),101,12月,285000.0,台灣優良農產品發展協會,農委會,
宣導農業好伴手,報紙(聯合報、蘋果日報、自由時報)、雜誌(TRAVELER LUXE旅人誌、AZ Travel、食尚玩家),101,11-12月,1186000.0,台灣優良農產品發展協會,農委會,
宣導農業好伴手,"廣播(好事989,好事935)",101,9-10月,100000.0,台灣優良農產品發展協會,農委會,
宣導農業好伴手,網路(Yahoo網頁、部落格、Facebook),101,9-10月,450000.0,台灣優良農產品發展協會,農委會,
花東農遊系列活動,雜誌(行遍天下雜誌跨頁),101,1月,100000.0,農委會,農委會,
花東農遊系列活動,報紙(更生日報十全廣告、聯合報十全廣告(地方版)、中國時報十全廣告(地方版)、自由時報旅遊週報(全國版),101,1月,460000.0,農委會,農委會,
花東農遊系列活動,廣播(中廣、好事聯播網及正聲廣播電台30秒),101,1月,160000.0,農委會,農委會,
農漁會精品暨農業伴手行銷,報紙(蘋果日報/半十廣告)4則,101,6月、9月、10月、12月,300000.0,農委會,農委會,
花東農遊系列活動,雜誌(時報周刊、中國時報年刊),101,10-12月,1000000.0,農委會,農委會,
花東農遊系列活動,報紙(更生日報十全地方版、東方報十全地方版、蘋果時報十全全國版2次),101,10-12月,600000.0,農委會,農委會,
花東農遊系列活動,網路(google關鍵字&banner),101,10-12月,70000.0,農委會,農委會,
2013臺灣農漁會百大精品展,報紙(工商時報、經濟日報、聯合晚報、自由周報、蘋果日報,101,12月 ,693000.0,農委會,農委會,
2013臺灣農漁會百大精品展,雜誌(天下雜誌半年期專刊),101,12月,126000.0,農委會,農委會,
2013臺灣農漁會百大精品展,網路(Yahoo奇摩網站),101,12月,80000.0,農委會,農委會,
2013臺灣農漁會百大精品展,廣播(好事聯播網、中廣新聞網),101,12月,140000.0,農委會,農委會,
2013臺灣農漁會百大精品展,電視(華視),101,12月,30000.0,農委會,農委會,
101年度農業科技產業化人才培訓及個案研究－業界研習班,平面(工商時報),101,6月,18480.0,農委會,農委會,
101年度農業科技產業化培訓及個案研究計畫-創新加值班,平面(工商時報、經濟日報、自由時報、豐年雜誌),101,7月-8月,123500.0,農委會,農委會,
2012台北國際發明暨技術交易展農業館開募,平面(經濟日報),101,9月20日,20000.0,農委會,農委會,
臺灣農業發展一百年紀錄片,網路(中視電視網站、Google上中視的brand頻道、中時電子報中時專欄),101,12月中旬開始,0.0,農委會,農委會,
防範森林火災宣導,雜誌 (主計月刊、台灣農學會務通訊、中華林學會特刊、中華民國農學團體101年聯合年會大會會員手冊/內單頁)  ,101,1-12月,142832.0,林務局,農委會,
防範森林火災宣導,報紙(原聲新聞報、原廣新聞報、中國時報、台灣時報、台灣新生報、中華日報、新新聞報、真晨報、聯合報、更生日報、東方報、聯統日報、民眾日報),101,2-4月、10-12月,544480.0,林務局,農委會,
防範森林火災宣導,網路（台東所在、台灣工業產品資訊網、玩全台灣旅遊網）,101,1-2月、11-12月,52000.0,林務局,農委會,
防範森林火災宣導,廣播（警察、正聲、中國、雲嘉、東民、台東之聲、台東知本、大寶桑、東台灣、蓮友、花蓮希望之聲廣播電台）,101,1-4月、10-12月,739000.0,林務局,農委會,
防範森林火災宣導,電視（世新、東台、洄瀾、東亞有線電視）,101,1-4月、11-12月,236850.0,林務局,農委會,
自然生態保育宣導,雜誌(主計月刊/內單頁、中華林學會特刊),101,2-12月,80000.0,林務局,農委會,
自然生態保育宣導,報紙(爽報、自由時報、蘋果日報),101,5月、11月、12月,454000.0,林務局,農委會,
自然生態保育宣導,廣播(中國廣播電台),101,7月-9月,99000.0,林務局,農委會,
植樹造林綠美化宣導,雜誌(主計月刊、食尚小玩家、台灣農學會農學會務通訊/內單頁),101,3-12月,81635.0,林務局,農委會,
植樹造林綠美化宣導,報紙(蘋果日報、原聲新聞報、原廣新聞報、爽報、民眾日報),101,2月、3月,196600.0,林務局,農委會,
植樹造林綠美化宣導,電視(東森新聞、東森財經、三立新聞、非凡新聞、年代新聞、觀昇電視台、台東地方新聞、東台有線),101,3月,628800.0,林務局,農委會,
植樹造林綠美化宣導,廣播(中廣流行網、宜蘭生活廣播網),101,3月,315000.0,林務局,農委會,
植樹造林綠美化宣導,網路(Yahoo廣告輪播連結),101,3月,400000.0,林務局,農委會,
國家森林遊樂區及自然教育中心活動宣導,雜誌(未來少年/內跨頁、中華林學會特刊),101,5月、12月,129500.0,林務局,農委會,
國家森林遊樂區及自然教育中心活動宣導,網路(未來少年雜誌本局官網連結、社群網路-Facebook粉絲團）,101,4-5月,0.0,林務局,農委會,
國家森林遊樂區及自然教育中心活動宣導,報紙(太台北捷運報、聯合報、台灣新生報、更生日報、中國時報),101,1月、10月、12月,264500.0,林務局,農委會,
國家森林遊樂區及自然教育中心活動宣導,廣播(飛碟聯播網),101,6-7月,28000.0,林務局,農委會,
國家森林遊樂區及自然教育中心活動宣導,電視(洄瀾有線電視),101,8月,10000.0,林務局,農委會,
移除、防治外來植物宣導,報紙(中華日報、原聲新聞報、更生日報、旺報、爽報、台灣時報、台灣新生報),101,7月、8月、9月、11月,193400.0,林務局,農委會,
移除、防治外來植物宣導,廣播(正聲、Apple line),101,9-10月,62200.0,林務局,農委會,
平地森林園區宣導,報紙(聯合報、台灣時報、中國時報、中華林學會特刊、中國時報、自由時報、蘋果日報、更生日報、東方報),101,1-12月,328000.0,林務局,農委會,
平地森林園區宣導,雜誌 (中華林學會特刊、專刊)  ,101,12月,100000.0,林務局,農委會,
平地森林園區宣導,廣播(中廣、雲嘉、嘉樂廣播),101,11月,0.0,林務局,農委會,
林業相關宣導（汛期防災、防治盜伐濫墾、網路官網連結）,廣播(正聲廣播、中晨新聞網),101,1-9月、12月,126953.0,林務局,農委會,
林業相關宣導（汛期防災、防治盜伐濫墾、網路官網連結）,網路(今日新聞網),101,4-11月,31500.0,林務局,農委會,
林業相關宣導（汛期防災、防治盜伐濫墾、網路官網連結）,雜誌(中華林學會特刊),101,12月,90000.0,林務局,農委會,
林業相關宣導（汛期防災、防治盜伐濫墾、網路官網連結）,電視(洄瀾有線電視),101,1月,10000.0,林務局,農委會,
林業相關宣導（汛期防災、防治盜伐濫墾、網路官網連結）,報紙(青年日報),101,9月  ,5000.0,林務局,農委會,
鮮享在地-龍年好魚慶團圓,雜誌(新漁業雜誌第347期~370期),101,1月-12月,3399110.0,漁業署,農委會,
APEC極端氣候對漁業及養殖漁業衝擊和因應策略研討會宣導,雜誌(新漁業雜誌第347期~370期),101,1月-12月,0.0,漁業署,農委會,
漁船捕獲鯊魚魚鰭處理應行遵守及注意事項,雜誌(新漁業雜誌第347期~370期),101,1月-12月,0.0,漁業署,農委會,
漁船（筏）用汽油有補貼,雜誌(新漁業雜誌第347期~370期),101,1月-12月,0.0,漁業署,農委會,
核（換、補）發漁船船員手冊時，將依漁船員完成基本安全訓練種類，以不同顏色分類,雜誌(新漁業雜誌第347期~370期),101,1月-12月,0.0,漁業署,農委會,
為維護養殖水產品安全，請依照獸醫師處方箋，正確使用動物用藥品,雜誌(新漁業雜誌第347期~370期),101,1月-12月,0.0,漁業署,農委會,
低溫防寒 漁業署呼籲養殖業者作好低溫防寒措施,雜誌(新漁業雜誌第347期~370期),101,1月-12月,0.0,漁業署,農委會,
水產精品 萬中選一,雜誌(新漁業雜誌第347期~370期),101,1月-12月,0.0,漁業署,農委會,
101年度1-12月漁船船員訓練課程,雜誌(新漁業雜誌第347期~370期),101,1月-12月,0.0,漁業署,農委會,
質優有保證!歡迎採購附有「產銷履歷驗證標章」水產品,雜誌(新漁業雜誌第347期~370期),101,1月-12月,0.0,漁業署,農委會,
人口販運、偷渡及走私毒品、槍械、未稅菸品、農漁畜產品，都是不歸路,雜誌(新漁業雜誌第347期~370期),101,1月-12月,0.0,漁業署,農委會,
漁港區環境維護好，漁船停泊安全處處好,雜誌(新漁業雜誌第347期~370期),101,1月-12月,0.0,漁業署,農委會,
宣導海鳥忌避措施新規定,雜誌(新漁業雜誌第347期~370期),101,1月-12月,0.0,漁業署,農委會,
101年度兼營飛魚卵漁業之管理及應遵行事項,雜誌(新漁業雜誌第347期~370期),101,1月-12月,0.0,漁業署,農委會,
漁業廢棄物回收及再利用,雜誌(新漁業雜誌第347期~370期),101,1月-12月,0.0,漁業署,農委會,
永續鯊魚資源-支持鰭不離身,雜誌(新漁業雜誌第347期~370期),101,1月-12月,0.0,漁業署,農委會,
資源管理做的好，永續利用沒煩惱，抓到黑鮪要通報，綁好標籤別忘掉,雜誌(新漁業雜誌第347期~370期),101,1月-12月,0.0,漁業署,農委會,
勿拆卸移置航程紀錄器（VDR）並妥善維護使用,雜誌(新漁業雜誌第347期~370期),101,1月-12月,0.0,漁業署,農委會,
落實海洋保護區管理，兼顧海洋生態保育與海洋資源永續利用,雜誌(新漁業雜誌第347期~370期),101,1月-12月,0.0,漁業署,農委會,
101年度兼營魩鱙漁業漁船應確實遵行魩鱙漁業管理規定,雜誌(新漁業雜誌第347期~370期),101,1月-12月,0.0,漁業署,農委會,
太平洋全面禁補花鯊,雜誌(新漁業雜誌第347期~370期),101,1月-12月,0.0,漁業署,農委會,
漁船油合法用，省著用減成本,雜誌(新漁業雜誌第347期~370期),101,1月-12月,0.0,漁業署,農委會,
節電措施小撇步-漁業署報恁知　,雜誌(新漁業雜誌第347期~370期),101,1月-12月,0.0,漁業署,農委會,
世界海洋日,雜誌(新漁業雜誌第347期~370期),101,1月-12月,0.0,漁業署,農委會,
我國遠洋漁船提報登錄歐盟名單後，業者始能將漁獲物輪銷至歐盟地區,雜誌(新漁業雜誌第347期~370期),101,1月-12月,0.0,漁業署,農委會,
颱風汛基來臨，維護漁港安全請備好攔木漁網或攔油索,雜誌(新漁業雜誌第347期~370期),101,1月-12月,0.0,漁業署,農委會,
電、毒、炸魚貽害子孫,雜誌(新漁業雜誌第347期~370期),101,1月-12月,0.0,漁業署,農委會,
裝設船位回報器(VMS)及定時回報,雜誌(新漁業雜誌第347期~370期),101,1月-12月,0.0,漁業署,農委會,
水產食養當季最秋,雜誌(新漁業雜誌第347期~370期),101,1月-12月,0.0,漁業署,農委會,
"總噸位二十以上未滿一百延繩釣漁船裝設
第二台漁船監控系統
輔導措施",雜誌(新漁業雜誌第347期~370期),101,1月-12月,0.0,漁業署,農委會,
世界海洋日,報紙(聯合晚報)     ,101,6月,120000.0,漁業署,農委會,
漁業署補助受災戶購置節能水車,報紙(民眾日報、中華日報,101,7月,96000.0,漁業署,農委會,
漁業署補助受災戶購置節能水車,廣播(警廣),101,7月,80000.0,漁業署,農委會,
碧砂漁港遊艇碼頭啟用,警廣,101,9月-10月,80000.0,漁業署,農委會,
碧砂漁港遊艇碼頭啟用,報紙(聯合晚報),101,9月,120000.0,漁業署,農委會,
樂活魚博悠遊新境界,警廣　,101,11月,100000.0,漁業署,農委會,
樂活魚博悠遊新境界,報紙(聯合晚報)     ,101,11月,120000.0,漁業署,農委會,
優良漁業出版品獎勵選拔,報紙(聯合晚報)     ,101,11月,120000.0,漁業署,農委會,
優良漁業出版品獎勵選拔,警廣,101,12月,80000.0,漁業署,農委會,
石斑魚年節送禮,報紙(聯合晚報、臺灣新生報、臺灣時報)     ,101,12月,310000.0,漁業署,農委會,
石斑魚年節送禮,警廣(21則劇化插播),101,12月,420000.0,漁業署,農委會,
魅力漁港大PK,報紙(聯合晚報、臺灣新生報、臺灣時報)     ,101,12月,200000.0,漁業署,農委會,
魅力漁港大PK,警廣,101,12月,100000.0,漁業署,農委會,
漁船用汽油補貼 開始受理申請!,報紙(聯合晚報、臺灣新生報、臺灣時報、中華日報、民眾日報)     ,101,12月,300000.0,漁業署,農委會,
漁船用汽油補貼 開始受理申請!,警廣,101,12月,100000.0,漁業署,農委會,
養殖漁業放養申報宣導,雜誌(新漁業雜誌),101,5月、6月、10月,72000.0,漁業署,農委會,
宣導台灣優良水產品,雜誌(高鐵T-Shop雜誌、時尚玩家特刊),101,11月-12月,280000.0,漁業署,農委會,
漁業推廣,漁業推廣雜誌304期~315期,101,1月-12月,3945000.0,漁業署,農委會,
獎勵休漁宣導,雜誌(新漁業雜誌),101,4月、5月、7月、9月,95080.0,漁業署,農委會,
兩岸基金會宗旨業務宣導,雜誌(台灣水產協會雙月刊),101,4月-12月,40000.0,財團法人臺灣兩岸漁業合作發展基金會(漁業署補助),農委會,
推廣消費者採購國產養殖烏魚子,雜誌(AZ雜誌、野趣生活家)、報紙(蘋果日報、中國時報、旺報),101,1-2月,484800.0,財團法人台灣養殖漁業發展基金會(漁業署補助),農委會,
推廣消費者採購水產精品,報紙(蘋果日報、自由時報、經濟日報)、雜誌(時報週刊、商業週刊、高鐵隨車專刊),101,1-2月,1400000.0,財團法人台灣養殖漁業發展基金會(漁業署補助),農委會,
讓國人吃到安全的台灣水產,雜誌(天下雜誌),101,2月,320000.0,財團法人台灣養殖漁業發展基金會(漁業署補助),農委會,
為維護養殖水產品安全請依獸醫師處方箋正確使用動物用藥品,雜誌(新漁業雜誌),101,6月-11月,96000.0,財團法人台灣養殖漁業發展基金會(漁業署補助),農委會,
第三屆海宴水產精品相關宣傳,雜誌(高鐵T-shop雜誌、商業週刊及特刊)、報紙(中國時報、聯合報),101,9月~12月,2171000.0,財團法人台灣養殖漁業發展基金會(漁業署補助),農委會,
第三屆海宴水產精品相關宣傳,網站,101,8月-102.2月,600000.0,財團法人台灣養殖漁業發展基金會(漁業署補助),農委會,
入秋國產水產品料理食譜資訊,報紙(蘋果日報、自由時報、聯合報、聯合晚報、中國時報)、雜誌(新漁業雜誌、壹週刊),101,8月~11月,820600.0,財團法人台灣養殖漁業發展基金會(漁業署補助),農委會,
入秋國產水產品料理食譜資訊,網路,101,9~10月,105000.0,財團法人台灣養殖漁業發展基金會(漁業署補助),農委會,
七星鱸魚補冬健康養生廣告,雜誌(新漁業雜誌),101,11月-12月,50400.0,財團法人台灣養殖漁業發展基金會(漁業署補助),農委會,
石斑養殖以人工飼料取代下雜魚,雜誌(新漁業雜誌),101,6月、9月-11月,95000.0,財團法人台灣養殖漁業發展基金會(漁業署補助),農委會,
節能水車之推廣及運用,雜誌(新漁業雜誌),101,12月,50000.0,財團法人台灣養殖漁業發展基金會(漁業署補助),農委會,
秋刀魚營養簡介暨簡易食譜推廣,報紙(自由時報、中國時報、聯合報),101,12月,208500.0,財團法人台灣養殖漁業發展基金會(漁業署補助),農委會,
石斑料理王競賽,雜誌(壹周刊),101,12月,90000.0,財團法人台灣養殖漁業發展基金會(漁業署補助),農委會,
石斑料理王競賽,網站,101,12月,81000.0,財團法人台灣養殖漁業發展基金會(漁業署補助),農委會,
世界海洋日,報紙(中國時報、聯合報、自由時報、蘋果日報),101,6月,508800.0,財團法人中華民國對外漁業合作發展協會(漁業署補助),農委會,
碧砂漁港遊艇碼頭啟用,報紙(中國時報、聯合報、自由時報),101,9月,351000.0,財團法人中華民國對外漁業合作發展協會(漁業署補助),農委會,
優良漁業出版品獎勵選拔,報紙(自由時報、蘋果日報),101,11月,175500.0,財團法人中華民國對外漁業合作發展協會(漁業署補助),農委會,
樂活魚博悠遊新境界,報紙(中國時報、聯合報、自由時報、蘋果日報),101,11月,292500.0,財團法人中華民國對外漁業合作發展協會(漁業署補助),農委會,
水土保持月系列活動,電視(東台地方電視台),101,5月,17000.0,水土保持局,農委會,
水土保持月系列活動,網路(Youtube/Facebook),101,5月,6000.0,水土保持局,農委會,
水土保持月系列活動,廣播(山城廣播電台),101,5月,15000.0,水土保持局,農委會,
土石流防災宣導,電視(東台地方電視台),101,5月,91500.0,水土保持局,農委會,
土石流防災宣導,網路(Youtube/Facebook),101,6月-8月,15000.0,水土保持局,農委會,
土石流防災宣導,報紙(聯合報、自由時報、蘋果日報、更生時報、東方報)；雜誌(商周),101,6月-8月,446220.0,水土保持局,農委會,
土石流防災宣導,廣播(中廣流行網、警廣全國治安交通網、國立教育廣播電台、中廣新聞網),101,5月-11月,122111.0,水土保持局,農委會,
環境教育宣導計畫,電視(東台地方電視台),101,7月,17000.0,水土保持局,農委會,
環境教育宣導計畫,網路(Youtube/Facebook),101,6月,15000.0,水土保持局,農委會,
環境教育宣導計畫,報紙(更生日報),101,12月,15000.0,水土保持局,農委會,
環境教育宣導計畫,廣播(中廣流行網、警廣全國治安交通網),101,6月,24917.0,水土保持局,農委會,
101年國民中小學水土保持作文、繪畫比賽,雜誌(幼教資訊雜誌),101,12月,29166.0,水土保持局,農委會,
101年國民中小學水土保持作文、繪畫比賽,廣播(警廣全國治安交通網),101,7月-12月,131251.0,水土保持局,農委會,
第二屆大專生洄游農村競賽,廣播(警廣全國治安交通網),101,5月-10月,61251.0,水土保持局,農委會,
第二屆大專生洄游農村競賽,報紙(聯合報等10則、爽報)；雜誌(商周),101,9月-12月,323603.0,水土保持局,農委會,
水土保持教育推廣研習營,廣播(警廣全國治安交通網）,101,6月-7月,23819.0,水土保持局,農委會,
水土保持教育推廣研習營,報紙(自由時報）,101,6月,15000.0,水土保持局,農委會,
坡地保育與利用宣導計畫,報紙(中國時報),101,12月,380000.0,水土保持局,農委會,
坡地保育與利用宣導計畫,廣播(中廣流行網、警廣全國治安交通網),101,6月-8月,30617.0,水土保持局,農委會,
農村再生系列宣導,"網路(Youtube/Facebook)
電子報",101,7月-11月,105000.0,水土保持局,農委會,
農村再生系列宣導,報紙(自由時報、聯合報、蘋果日報)、雜誌(鄉間小路),101,7月,900000.0,水土保持局,農委會,
農村再生系列宣導,廣播(警廣全國治安交通網、中廣新聞網),101,5-12月,129702.0,水土保持局,農委會,
「農村好讚」App 宣導活動,電視(東台地方電視台),101,7月,8500.0,水土保持局,農委會,
「農村好讚」App 宣導活動,網路(Youtube/Facebook),101,7月,3000.0,水土保持局,農委會,
「農村好讚」App 宣導活動,報紙(更生日報),101,7月,15000.0,水土保持局,農委會,
「農村好讚」App 宣導活動,廣播(警廣全國治安交通網),101,8月-11月,20417.0,水土保持局,農委會,
水土保持活動宣導計畫,雜誌(中華日報),101,12月,90000.0,水土保持局,農委會,
水土保持活動宣導計畫,廣播(國立教育廣播電台),101,9月-11月,200000.0,水土保持局,農委會,
行政院公共工程委員會第12屆公共工程金質獎（水保優良工程事蹟）,廣播(警廣全國治安交通網),101,11月,20417.0,水土保持局,農委會,
101年度農村再生社區建設績優團體及個人獎宣傳,報紙(自由時報、中國時報),101,11月,380000.0,水土保持局,農委會,
101年度農村再生社區建設績優團體及個人獎宣傳,廣播(警廣全國治安交通網),101,8月-12月,40834.0,水土保持局,農委會,
農村再生有你尚讚宣傳活動,報紙(聯合報)；雜誌(豐年社),101,11月,0.0,水土保持局,農委會,
農村再生有你尚讚宣傳活動,廣播(警廣全國治安交通網),101,10月,20417.0,水土保持局,農委會,
宣導本署農糧產業,網路媒體(自立晚報電子報),101,1月-12月,60000.0,農糧署,農委會,
農業政策宣導、時令農產品促銷暨農業活動宣傳,"正聲廣播電台、桃園先聲電台、苗栗正義電台、望春風電台、嘉樂電台、正聲廣播公司、中國廣播公司
",101,1月-12月,2470000.0,農糧署,農委會,
優質台灣米禮盒,"主計月刊
封面內頁
(主計月報社)",101,101年2、4、6、8、10、12月號,96000.0,農糧署,農委會,
米食推廣宣導,"金稻糧家
封面內頁
封底外頁
(中華民國
稻米協進會)",101,"101.04.13第12期、
101.07.01第13期、
101.10.01第14期、
101.12.20第15期",88000.0,農糧署,農委會,
臺灣米行銷展售活動計畫/臺灣米博覽會活動宣傳,報紙4則、廣播300檔、電子媒體,101,101.09.20.~101.10.13.,850000.0,農糧署,農委會,
臺灣米行銷展售活動計畫/臺灣米博覽會活動宣傳,報紙4則(蘋果日報2則、Upaper2則),101,101.10.11-12,190000.0,農糧署,農委會,
臺灣米行銷展售活動計畫/臺灣米博覽會活動宣傳,雜誌2則(健康兩點靈及食尚玩家,101,101.10月份,30000.0,農糧署,農委會,
臺灣米行銷展售活動計畫/臺灣米博覽會活動宣傳,廣播(好事聯播廣及飛碟電台),101,101.09.20.~10.14,220000.0,農糧署,農委會,
臺灣米行銷展售活動計畫/臺灣米博覽會活動宣傳,電視10秒(東森及年代家族,101,101.10.01-14,380000.0,農糧署,農委會,
臺灣米行銷展售活動計畫/臺灣米博覽會活動宣傳,網路,101,101.10.01-14,30000.0,農糧署,農委會,
小地主大佃農政策推廣活動,聯合報、中華日報                                                                                                                                                                                                                                            ,101,101.10.31、101.12.25                                                                                                                                                                                                           ,280000.0,農糧署,農委會,
小地主大佃農政策推廣活動,廣播電台,101,101.11.26~101.12.26 ,0.0,農糧署,農委會,
小地主大佃農政策推廣活動,社群網站-臉書,101,101.11.26~101.12.26 ,0.0,農糧署,農委會,
打破米食三大迷思及米飯的好處,101年新北市糧商特刊(新北市米穀商業同業公會),101,101年10月出版,20000.0,農糧署,農委會,
打破米食三大迷思及米飯的好處,101年桃園縣糧商特刊(桃園縣米穀商業同業公會),101,101年12月出版,20000.0,農糧署,農委會,
101年1期公糧收購,30秒CF宣導短片/南投、台中、雲林區有線電視中台灣生活網,101,7月,60000.0,農糧署,農委會,
