主題,媒體,民國年,時間,金額,執行單位,行政部會,備註
林業相關宣導（網路官網連結）,網路(今日新聞網、中晨新聞網),102,7~9月,11949,林務局,農委會,
農糧政策宣導,網路(自立晚報電子報),102,7~9月,15000,農糧署,農委會,
米食推廣計畫/優質台灣米禮盒(配合年節及業務需要調整),雜誌(主計月刊),102,8月,16000,農糧署,農委會,
北區分署農糧政策宣導,廣播(正聲調頻台、正聲調幅台、桃園先聲電台、苗栗正義電台),102,7~9月,148750,農糧署,農委會,
中區分署農糧政策宣導,廣播(正聲：台中一台、台中二台、雲林台、北港台) ,102,7~9月,173750,農糧署,農委會,
南區分署農糧政策宣導,廣播(正聲：嘉義縣市、臺南市、高雄市、屏東縣、澎湖縣),102,7~9月,145000,農糧署,農委會,
東區分署農糧政策宣導,廣播(中廣：宜蘭、花蓮、台東) ,102,7~9月,148750,農糧署,農委會,
青年農傳人系列專欄廣告,報紙(更生日報),102,7~9月,20000,農糧署,農委會,
1.102年度7-9月漁船船員訓練課程  2.漁船紀錄器不可拆卸 3.產銷履歷驗證標章宣導 4.漁船主依「就業服務法」僱用之外籍船員應申請及註銷外國籍船員證，且僱用期間不得從事非經許可之工作 5.簽署「臺日漁業協議」雙方漁民應和平互惠、永續利用資源 6.人口,雜誌(新漁業雜誌),102,7~9月,765312,漁業署,農委會,
販運、偷渡及走私毒品、槍械、未稅菸品、農漁畜產品，都是不歸路 7.漁業廢棄物回收及再利用 8.三年300萬獎勵水產院校畢業生上漁船 9.宣導大西洋長鰭鮪新規定 10.宣導漁港颱風防範工作 11.宣導節能養殖工作 12.漁船作業安全宣導,雜誌(新漁業雜誌),102,7~9月,0,漁業署,農委會,
獎勵休漁計畫,雜誌(新漁業雜誌、漁友月刊),102,7~9月,64000,漁業署,農委會,
2013全國漁民節系列慶祝活動,報紙(自由、聯合、蘋果),102,9月,450000,漁業署,農委會,
中元普渡推薦選購國產台灣鯛、虱目魚等大宗魚獲,報紙(聯合晚報),102,8月,60000,漁業署,農委會,
中元普渡推薦選購國產台灣鯛、虱目魚等大宗魚獲,報紙(蘋果日報),102,8月,126104,財團法人中華民國對外漁業合作發展協會,農委會,
宣傳漁合會宗旨業務,雜誌(台灣水產協會雙月刊),102,7~9月,16000,財團法人兩岸漁業合作發展基金會,農委會,
宣導養殖漁民正確使用動物用藥品,雜誌(漁友月刊、新漁業雜誌),102,7~8月,72000,財團法人台灣養殖漁業發展基金會,農委會,
石斑人工飼料宣導,雜誌(新漁業雜誌),102,9月,23750,財團法人台灣養殖漁業發展基金會,農委會,
對外漁協業務,雜誌(新漁業雜誌),102,7~9月,18000,財團法人中華民國對外漁業合作發展協會,農委會,
土石流防災教育宣導：土石流防災三訣竅、緊急避難包、防災秘訣、防災準備篇、社區自主防救災篇、水土保持及坡地保育宣導,報紙(中國時報、聯合報、蘋果日報),102,7~9月,976050,水保局,農委會,
土石流防災教育宣導：土石流防災三訣竅、緊急避難包、防災秘訣、防災準備篇、社區自主防救災篇、水土保持及坡地保育宣導,廣播(警廣、警廣臺東台、中廣花蓮台),102,7~9月,67500,水保局,農委會,
102年水土保持及農村再生教育-教材教案設計比賽,雜誌(主計月刊、幼教資訊雜誌),102,7月,78400,水保局,農委會,
102年水土保持及農村再生教育-作文繪畫比賽,雜誌（常春雜誌）,102,7月,50000,水保局,農委會,
「N個理由到農村」網路圖文徵件活動,雜誌(主計月刊、商業周刊),102,"7~8月
",144370,水保局,農委會,
「N個理由到農村」網路圖文徵件活動,廣播(警察廣播電台）,102,"8月
",20417,水保局,農委會,
狂犬病防疫宣導,雜誌(主計月刊),102,"9月
",8400,水保局,農委會,
教育系列活動特刊,雜誌（商業周刊）,102,"7月
",135970,水保局,農委會,
2013農村再生永續陪伴區域論壇,雜誌（商業周刊）,102,9月,135970,水保局,農委會,
2013農村再生永續陪伴區域論壇,報紙(聯合報、中華日報),102,7月,4000,水保局,農委會,
2013農村再生永續陪伴區域論壇,廣播(中國廣播公司、台灣廣播公司),102,7月,15666,水保局,農委會,
2013地質與防災特展-潛返地心地質大探索,廣播(警廣),102,9月,20417,水保局,農委會,
青春白皮書facebook粉絲頁,網路(facebook),102,9月,60735,水保局,農委會,
農村再生宣導,廣播(警廣臺東台),102,9月,5000,水保局,農委會,
三仙、永福社區微旅行專題報導,雜誌(好遊趣),102,9月,20000,水保局,農委會,
社區介紹：重光社區、赤科山社區、樹湖社區,雜誌(鄉間小路),102,7~9月,57000,水保局,農委會,
美農逍遙遊產業行銷活動,廣播(中廣台東台),102,8月,"12,500元",水保局,農委會,
太巴塱篇、農村素人篇,廣播(中廣花蓮台),102,8~9月,23332,水保局,農委會,
日出農村 來去台東住一晚--體驗真實阿美族生活,報紙(更生日報),102,8月,1500,水保局,農委會,
農村再生行銷台東多元產業文化特色 相約來去農村Fun一下,報紙(自由時報),102,"9月
",1500,水保局,農委會,
農村再生計畫於台東地區推動現況及成效專題廣告,報紙(更生日報),102,"9月
",1500,水保局,農委會,
農村再生文化保存成果專題廣告,報紙(更生日報),102,"9月
",1500,水保局,農委會,
深度農村體驗交流活動-縱谷線,報紙(更生日報),102,"9月
",1500,水保局,農委會,
花蓮地區參加第三屆大專生洄游計畫,廣播(中廣花蓮台),102,7月,10000,水保局,農委會,
大專生駐村對社區發展與轉變：北林社區、拉力社區、春日社區,廣播(中廣花蓮台),102,9月,30000,水保局,農委會,
大專生洄游農村計畫村駐永福社區展活力,報紙(更生日報),102,"9月
",1500,水保局,農委會,
大專生洄游計畫,廣播(教育電台),102,9月,20000,水保局,農委會,
大專青年洄遊計畫宣導分享駐村成果,廣播(中廣),102,7~10月,25000,水保局,農委會,
樂活瘋農村-親子體驗輕旅遊活動,報紙(聯合、中華、青年、台灣新生報、台灣時報),102,8月,4000,水保局,農委會,
樂活瘋農村-親子體驗輕旅遊活動,廣播(正聲電台、中興電台),102,8月,40000,水保局,農委會,
推動農村再生：開創社區新風貌、找回人與土地新倫理、活力再創新希望,廣播(中廣),102,7~10月,55000,水保局,農委會,
農村培根計畫特色社區,廣播(台灣廣播公司),102,7~10月,10666,水保局,農委會,
農村新生機--年輕人回村再造,廣播(台廣、神農),102,7~10月,20666,水保局,農委會,
培根成果活動訊息廣告,廣播(神農),102,8月,10000,水保局,農委會,
農村培根計畫與窳陋空間改善推廣計畫,廣播(中廣),102,7~10月,25000,水保局,農委會,
農村體驗交流-都市下鄉親土樂,網路（新浪新聞、中廣新聞、聯合新聞網）,102,7~8月,7000,水保局,農委會,
青年駐村Show創意 發掘農村新活力,網路（自由時報、聯合新聞網、聯合新聞網）,102,7~8月,7000,水保局,農委會,
農信保專為農漁民及農企業作保,雜誌(新漁業雜誌),102,7~9月,20000,財團法人農業信用保證基金,農委會,
農信保相挺-協助農漁民轉型科技農企業發展綠能生態養殖,雜誌(農訓雜誌),102,7月,30000,財團法人農業信用保證基金,農委會,
"從產地到餐桌 堅持肉品安全 農信保相挺—楊鎵燡獲十大神農獎  
",雜誌(農訓雜誌),102,9月,30000,財團法人農業信用保證基金,農委會,
農信保是農漁民的好朋友,廣播(每日、建國、神農、民立等電台),102,7~9月,174375,財團法人農業信用保證基金,農委會,
