主題,媒體,時間,金額,執行單位,行政部會,備註
防範森林火災宣導,電視（洄瀾、東亞有線電視）,1~3月,174000.0,林務局,農委會,回饋項目
植樹造林綠美化宣導,報紙(聯合報、蘋果日報),1~3月,194500.0,林務局,農委會,回饋項目
植樹造林綠美化宣導,雜誌(主計月刊、原聲海峽兩岸雜誌、時尚玩家),1~3月,163400.0,林務局,農委會,回饋項目
植樹造林綠美化宣導,網路(Yahoo、YouTube、網路電視、Facebook),1~3月,206000.0,林務局,農委會,回饋項目
植樹造林綠美化宣導,廣播(中廣、飛碟),1~3月,200000.0,林務局,農委會,回饋項目
植樹造林綠美化宣導,電視(東森、三立、緯來、年代),1~3月,500000.0,林務局,農委會,回饋項目
國家森林遊樂區及平地森林園區宣導,報紙(聯合報、更生日報、中國時報、東方報),1月1日~3月1日,486000.0,林務局,農委會,回饋項目
國家森林遊樂區及平地森林園區宣導,廣播(好事聯播網、蓮花電台),2月20日~3月1日,12500.0,林務局,農委會,回饋項目
林業相關宣導（網路官網連結）,網路(今日新聞網、中晨新聞網),1~3月,10374.0,林務局,農委會,回饋項目
1.漁會選舉宣導 2.102年度1-3月漁船船員訓練課程 3.黑鮪要通報 4.汽油補貼 5.非法販運是不歸路 6.中西太平洋作業規定 7.捕獲大白鯊象鮫及巨口鯊請通報 8.正確使用水產動物用藥品 9.漁港區環境維護 10.鯖鰺漁業管理規範 11.節能養殖宣導 12.廢棄物再利用宣導 13.呼籲養殖業者做好低溫防寒措施 14.海洋保護區保護等級分類標誌 15.漁船捕獲鯊魚魚鰭處理應行遵守及注意事項,雜誌(新漁業雜誌),1~3月,1100136.0,漁業署,農委會,回饋項目
海宴水產精品相關宣導,雜誌(商業周刊第1310期),1月,750000.0,財團法人台灣養殖漁業發展基金會,農委會,回饋項目
海宴水產精品相關宣導,報紙(中國時報),1月,110250.0,財團法人台灣養殖漁業發展基金會,農委會,回饋項目
"101年度烏魚子
全國競賽暨行銷推廣活動",好事廣播網,1~2月,157500.0,財團法人台灣養殖漁業發展基金會,農委會,回饋項目
"101年度烏魚子
全國競賽暨行銷推廣活動",報紙(U-PAPER、爽報),1月,292982.0,財團法人台灣養殖漁業發展基金會,農委會,回饋項目
"101年度烏魚子
全國競賽暨行銷推廣活動",網路(Yahoo奇摩關鍵字搜尋),1月,26250.0,財團法人台灣養殖漁業發展基金會,農委會,回饋項目
漁民從事鯖鰺漁業申請期限,報紙(中國時報、聯合報、自由時報、蘋果日報),3月,468000.0,財團法人中華民國對外漁業合作發展協會,農委會,回饋項目
漁民捕獲大白鯊、象鮫、巨口鯊記得主動通報,報紙(蘋果日報),1900-04-11 00:00:00,117000.0,財團法人中華民國對外漁業合作發展協會,農委會,回饋項目
兩岸漁業合作交流業務宣導,雜誌(台灣水產協會雙月刊),2~3月,8000.0,財團法人兩岸漁業合作發展基金會,農委會,回饋項目
優質台灣米禮盒健康米食營養滿分,雜誌(主計月刊),2月,16000.0,農糧署,農委會,回饋項目
宣導有機農產品,雜誌(張老師月刊),1月,90000.0,農糧署,農委會,回饋項目
農糧政策宣導,網路(自立晚報電子報),1~3月,15000.0,農糧署,農委會,回饋項目
農糧政策宣導,廣播(正聲、正聲地方台、中廣地方台、桃園先聲、苗栗正義),1~3月,616250.0,農糧署,農委會,回饋項目
農糧政策宣導,電視(洄瀾、東亞有線電視),2月9日~2月18日,10000.0,農糧署,農委會,回饋項目
「水土保持與農村再生」海報宣導,雜誌(主計月刊),1月,8400.0,水保局,農委會,回饋項目
「農村市集通」網站宣導,雜誌(主計月刊),2月,8400.0,水保局,農委會,回饋項目
「被遺忘的旅程」農村再生微電影愛心播映活動宣導,雜誌(主計月刊),3月,8400.0,水保局,農委會,回饋項目
「被遺忘的旅程」農村再生微電影愛心播映活動宣導,廣播(警廣全國治安交通網),2-3月,20417.0,水保局,農委會,回饋項目
